,Tocantins - IDH
2019-9,0.7332694302449634
2019-10,0.7331427833181416
2019-11,0.7330161363913199
2019-12,0.7328894894644983
2020-1,0.7327628425376765
2020-2,0.7325943792235681
2020-3,0.7324259159094595
2020-4,0.732257452595351
2020-5,0.7320889892812426
2020-6,0.731920525967134
2020-7,0.7317520626530255
2020-8,0.731583599338917
2020-9,0.7314151360248085
2020-10,0.7312466727107
2020-11,0.7310782093965915
2020-12,0.7309097460824829
2021-1,0.7307412827683745
2021-2,0.7307393227893471
2021-3,0.7307373628103195
2021-4,0.730735402831292
2021-5,0.7307334428522646
2021-6,0.7307314828732372
2021-7,0.7307295228942097
2021-8,0.7307275629151821
2021-9,0.7307256029361547
2021-10,0.7307236429571273
2021-11,0.7307216829780998
2021-12,0.7307197229990723
2022-1,0.7307177630200449
