,Paraíba - IDH
2018-9,0.6982837163172222
2018-10,0.6981928857194881
2018-11,0.6981020551217539
2018-12,0.6980112245240199
2019-1,0.6979203939262857
2019-2,0.6978061544863333
2019-3,0.697691915046381
2019-4,0.6975776756064286
2019-5,0.6974634361664762
2019-6,0.6973491967265238
2019-7,0.6972349572865715
2019-8,0.697120717846619
2019-9,0.6970064784066666
2019-10,0.6968922389667143
2019-11,0.6967779995267619
2019-12,0.6966637600868095
2020-1,0.6965495206468572
2020-2,0.696417320045697
2020-3,0.6962851194445367
2020-4,0.6961529188433766
2020-5,0.6960207182422165
2020-6,0.6958885176410563
2020-7,0.6957563170398962
2020-8,0.6956241164387359
2020-9,0.6954919158375757
2020-10,0.6953597152364156
2020-11,0.6952275146352553
2020-12,0.6950953140340952
2021-1,0.694963113432935
2021-2,0.6949401067165178
2021-3,0.6949171000001008
2021-4,0.6948940932836836
2021-5,0.6948710865672664
2021-6,0.6948480798508493
2021-7,0.6948250731344321
2021-8,0.6948020664180149
2021-9,0.6947790597015978
2021-10,0.6947560529851806
2021-11,0.6947330462687634
2021-12,0.6947100395523463
2022-1,0.6946870328359291
