,Rondônia - IDH
2015-1,0.7092940439580994
2015-2,0.709762040032763
2015-3,0.7102300361074265
2015-4,0.7106980321820902
2015-5,0.7111660282567537
2015-6,0.7116340243314173
2015-7,0.7121020204060808
2015-8,0.7125700164807445
2015-9,0.7130380125554081
2015-10,0.7135060086300716
2015-11,0.7139740047047353
2015-12,0.7144420007793988
2016-1,0.7149099968540624
2016-2,0.7149093150120478
2016-3,0.7149086331700331
2016-4,0.7149079513280184
2016-5,0.7149072694860037
2016-6,0.7149065876439891
2016-7,0.7149059058019744
2016-8,0.7149052239599597
2016-9,0.7149045421179451
2016-10,0.7149038602759303
2016-11,0.7149031784339157
2016-12,0.714902496591901
2017-1,0.7149018147498863
2017-2,0.7148556163767794
2017-3,0.7148094180036725
2017-4,0.7147632196305655
2017-5,0.7147170212574586
2017-6,0.7146708228843517
2017-7,0.7146246245112449
2017-8,0.7145784261381379
2017-9,0.714532227765031
2017-10,0.7144860293919241
2017-11,0.7144398310188171
2017-12,0.7143936326457102
2018-1,0.7143474342726033
2018-2,0.7142288542292139
2018-3,0.7141102741858245
2018-4,0.7139916941424351
2018-5,0.7138731140990459
2018-6,0.7137545340556565
2018-7,0.7136359540122671
2018-8,0.7135173739688777
2018-9,0.7133987939254883
2018-10,0.7132802138820991
2018-11,0.7131616338387097
2018-12,0.7130430537953203
2019-1,0.7129244737519309
2019-2,0.712795113704597
2019-3,0.7126657536572631
2019-4,0.7125363936099294
2019-5,0.7124070335625955
2019-6,0.7122776735152616
2019-7,0.7121483134679277
2019-8,0.7120189534205938
2019-9,0.71188959337326
2019-10,0.7117602333259261
2019-11,0.7116308732785923
2019-12,0.7115015132312584
2020-1,0.7113721531839245
2020-2,0.7111628513141058
2020-3,0.710953549444287
2020-4,0.7107442475744683
2020-5,0.7105349457046496
2020-6,0.7103256438348308
2020-7,0.710116341965012
2020-8,0.7099070400951933
2020-9,0.7096977382253745
2020-10,0.7094884363555558
2020-11,0.7092791344857371
2020-12,0.7090698326159183
2021-1,0.7088605307460996
2021-2,0.7089276559790245
2021-3,0.7089947812119496
2021-4,0.7090619064448745
2021-5,0.7091290316777995
2021-6,0.7091961569107246
2021-7,0.7092632821436495
2021-8,0.7093304073765745
2021-9,0.7093975326094996
2021-10,0.7094646578424245
2021-11,0.7095317830753495
2021-12,0.7095989083082745
2022-1,0.7096660335411995
