,Santa Catarina - IDH
2017-7,0.8065694728917441
2017-8,0.8064938893619741
2017-9,0.8064183058322041
2017-10,0.8063427223024341
2017-11,0.8062671387726641
2017-12,0.8061915552428942
2018-1,0.8061159717131242
2018-2,0.8060183654382236
2018-3,0.8059207591633231
2018-4,0.8058231528884225
2018-5,0.8057255466135219
2018-6,0.8056279403386213
2018-7,0.8055303340637208
2018-8,0.8054327277888202
2018-9,0.8053351215139196
2018-10,0.805237515239019
2018-11,0.8051399089641185
2018-12,0.805042302689218
2019-1,0.8049446964143173
2019-2,0.8047851865386682
2019-3,0.8046256766630191
2019-4,0.80446616678737
2019-5,0.8043066569117209
2019-6,0.8041471470360717
2019-7,0.8039876371604227
2019-8,0.8038281272847736
2019-9,0.8036686174091244
2019-10,0.8035091075334753
2019-11,0.8033495976578262
2019-12,0.8031900877821772
2020-1,0.803030577906528
2020-2,0.8030308095573351
2020-3,0.8030310412081421
2020-4,0.803031272858949
2020-5,0.8030315045097561
2020-6,0.8030317361605632
2020-7,0.8030319678113702
2020-8,0.8030321994621772
2020-9,0.8030324311129843
2020-10,0.8030326627637914
2020-11,0.8030328944145984
2020-12,0.8030331260654053
2021-1,0.8030333577162124
2021-2,0.803116943759517
2021-3,0.8032005298028217
2021-4,0.8032841158461264
2021-5,0.803367701889431
2021-6,0.8034512879327356
2021-7,0.8035348739760402
2021-8,0.8036184600193449
2021-9,0.8037020460626495
2021-10,0.8037856321059541
2021-11,0.8038692181492588
2021-12,0.8039528041925634
2022-1,0.804036390235868
