, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rondônia - Produção de Cimento (t),Rondônia - IDH,Rondônia - PIB - Estadual,Rondônia - PIB - Construção Civil,Rondônia - PIB - Per Capita,Rondônia - PIB - Preços de Mercado,Rondônia - Consumo de Cimento (t),Rondônia - Desemprego
2004-1,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,4.986999999999999,0.6910901696840182,21008942.254614323,1609823.6625024634,11.519650080642656,18400224.684439994,13.42,8.152625843163605
2004-2,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,4.986999999999999,0.6912673370347237,21033707.84117887,1610338.2724587545,11.523834488028497,18407650.453065734,11.302,8.150792080850303
2004-3,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,4.986999999999999,0.6914445043854291,21058473.427743424,1610852.8824150455,11.528018895414336,18415076.22169148,16.993,8.148958318537002
2004-4,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,4.987,0.6916216717361346,21083239.01430797,1611367.4923713366,11.532203302800175,18422501.99031722,16.214,8.1471245562237
2004-5,0.5930166849467975,-6639.092352241397,5.906435456003245,1.2817627267622196,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,4.987,0.6917988390868401,21108004.60087252,1611882.1023276276,11.536387710186014,18429927.75894296,15.406,8.145290793910398
2004-6,0.574475450988554,-6748.885395968077,5.749095649630231,1.4699831580623657,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,4.987,0.6919760064375456,21132770.187437072,1612396.7122839186,11.540572117571854,18437353.527568705,19.759,8.143457031597096
2004-7,0.5593363966337657,-6784.497815846861,5.627047610968012,1.277476010520013,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,4.987,0.6921531737882511,21157535.77400162,1612911.3222402097,11.544756524957691,18444779.29619445,20.185,8.141623269283794
2004-8,0.5366506165950669,-6905.605509166634,5.503636763429107,1.3692624947884502,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,4.987,0.6923303411389566,21182301.36056617,1613425.932196501,11.548940932343532,18452205.06482019,19.467,8.13978950697049
2004-9,0.521373108360619,-6995.222858870797,5.379865840264738,1.2233548439105977,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,4.987,0.6925075084896621,21207066.94713072,1613940.542152792,11.553125339729371,18459630.833445933,18.7,8.137955744657189
2004-10,0.5156158255655208,-7120.238857990881,5.253056293059425,1.0832535786578323,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,4.987,0.6926846758403676,21231832.53369527,1614455.152109083,11.55730974711521,18467056.602071676,22.264,8.136121982343887
2004-11,0.5071034898207396,-7055.497216121851,5.122595130555095,1.225778954987658,0.5310516981315352,181120273.0769744,7452016.549641792,0.6696517138276467,4.986999999999999,0.6928618431910731,21256598.120259818,1614969.762065374,11.56149415450105,18474482.370697416,14.075,8.134288220030585
2004-12,0.4969515420076215,-6921.044658255659,4.995239879121229,1.1747086678519794,0.5059456433043616,181293822.79427427,7457466.109898502,0.6553570801963157,4.987000000000001,0.6930390105417786,21281363.70682437,1615484.372021665,11.56567856188689,18481908.13932316,21.219,8.132454457717284
2005-1,0.483143045759377,-7202.757774714469,4.860078219431911,1.4639532115258698,0.4921828904516431,181467372.5115742,7462915.670155211,0.6473973428202994,4.987000000000001,0.6932161778924841,21306129.29338892,1615998.981977956,11.569862969272728,18489333.9079489,21.211,8.130620695403982
2005-2,0.4753697952172824,-7128.700399706268,4.725791184629883,1.4873522528925844,0.479032861785929,181632962.2895496,7468228.679464037,0.6298003725137261,4.987000000000001,0.6933838067638557,21328652.215113346,1617498.3731100906,11.572551010245256,18495069.248125244,15.823,8.122935395763994
2005-3,0.4664937288356185,-7221.778170229833,4.596932598972333,1.394672339987124,0.4648610952618953,181798552.067525,7473541.688772862,0.6197803250738215,4.987000000000001,0.6935514356352271,21351175.136837777,1618997.764242225,11.575239051217784,18500804.588301588,15.195,8.115250096124006
2005-4,0.4550001182228941,-7427.695727374902,4.479302822781261,1.513866283918324,0.4371435666899209,181964141.8455004,7478854.698081687,0.6089935578495764,4.987000000000001,0.6937190645065987,21373698.058562204,1620497.1553743598,11.577927092190311,18506539.92847793,15.479,8.107564796484018
2005-5,0.4387655535867955,-7307.848389698152,4.361373483938184,1.5686237807140602,0.4197283588146051,182129731.6234758,7484167.707390512,0.6112913639662371,4.987000000000001,0.6938866933779703,21396220.98028663,1621996.5465064943,11.58061513316284,18512275.26865428,18.536,8.09987949684403
2005-6,0.4302028729547594,-7431.800235590503,4.256101726196984,1.400078135123935,0.4199780553732319,182295321.4014512,7489480.716699338,0.5804670357747842,4.987000000000001,0.6940543222493417,21418743.902011063,1623495.9376386288,11.583303174135368,18518010.60883062,22.6,8.092194197204043
2005-7,0.4313751989691616,-7447.830376487559,4.16168717243741,1.5002475733361442,0.426655987569031,182460911.1794265,7494793.726008162,0.5645649922940777,4.987000000000001,0.6942219511207133,21441266.82373549,1624995.3287707632,11.585991215107896,18523745.949006967,17.735,8.084508897564055
2005-8,0.4316478866297594,-7426.454566904413,4.079825078928361,1.366263537502306,0.4533210772878235,182626500.957402,7500106.735316987,0.5609756759595197,4.987000000000001,0.6943895799920848,21463789.74545992,1626494.719902898,11.588679256080423,18529481.28918331,23.933,8.076823597924067
2005-9,0.4277093852365702,-7512.020875107958,4.012628248908924,1.489061200727286,0.4844114534007803,182792090.7353773,7505419.744625812,0.5646643450021134,4.987000000000001,0.6945572088634563,21486312.66718435,1627994.1110350324,11.591367297052953,18535216.62935965,21.268,8.069138298284079
2005-10,0.4225131084131527,-7687.979669089395,3.9602332396446167,1.2109586000669308,0.4945726100320757,182957680.51335275,7510732.753934638,0.5644640550493971,4.987000000000001,0.6947248377348278,21508835.588908777,1629493.502167167,11.59405533802548,18540951.969536,22.834,8.061452998644091
2005-11,0.410747290823505,-7676.736667287167,3.9221772649399615,1.6422607052183609,0.4959029929217597,183123270.29132813,7516045.763243463,0.5622657106505984,4.987000000000001,0.6948924666061994,21531358.510633204,1630992.8932993016,11.596743378998008,18546687.309712343,19.522,8.053767699004103
2005-12,0.4101195327303973,-7542.184036343686,3.892160292125506,1.377980104178371,0.5121818479826961,183288860.0693036,7521358.772552288,0.5630711908624105,4.987000000000001,0.6950600954775709,21553881.432357635,1632492.284431436,11.599431419970536,18552422.649888687,18.921,8.046082399364115
2006-1,0.4093210137705744,-7965.495545452277,3.8684439286332686,1.0704709367180183,0.5246513831169914,183454449.8472789,7526671.781861113,0.5580933471517024,4.987000000000001,0.6952277243489424,21576404.354082063,1633991.6755635706,11.602119460943063,18558157.99006503,15.232,8.038397099724127
2006-2,0.4028183365263698,-7956.205189035386,3.846872965752776,1.272740378704435,0.5117940136540285,183612058.601541,7531879.804076586,0.5540061208774786,4.987000000000001,0.695386332425381,21598631.329915497,1633668.7449843695,11.605929553390526,18565055.7005313,14.323,8.03635062695624
2006-3,0.3998570076790366,-8153.367564422752,3.842818789820434,1.087038179944784,0.5216724461884032,183769667.35580307,7537087.826292059,0.558308779155122,4.987000000000001,0.6955449405018195,21620858.30574893,1633345.8144051689,11.609739645837989,18571953.41099757,18.022,8.034304154188353
2006-4,0.3979963710958243,-8423.448244351577,3.836249908110392,1.2439483036977474,0.5491307539299164,183927276.1100652,7542295.848507533,0.5671710316312383,4.987000000000001,0.695703548578258,21643085.281582363,1633022.883825968,11.613549738285451,18578851.121463843,18.153,8.032257681420466
2006-5,0.4056653747218318,-8229.867308086905,3.840605092822108,0.9925459420462728,0.5836820001689738,184084884.86432725,7547503.870723005,0.5968232499556683,4.987000000000001,0.6958621566546965,21665312.2574158,1632699.9532467674,11.617359830732914,18585748.831930112,24.051,8.03021120865258
2006-6,0.4149031030845876,-8333.395980655183,3.8357922282673904,1.1619063477174951,0.6123741776559579,184242493.6185893,7552711.892938478,0.6052265435927703,4.987000000000001,0.696020764731135,21687539.233249232,1632377.0226675663,11.621169923180377,18592646.54239638,19.856,8.028164735884692
2006-7,0.4267485653722618,-8363.641502791654,3.834296240076312,1.0107148892098956,0.6206261710016543,184400102.37285143,7557919.915153951,0.6134655051430675,4.987000000000001,0.6961793728075736,21709766.209082663,1632054.0920883657,11.62498001562784,18599544.25286265,24.547,8.026118263116807
2006-8,0.4258794259587617,-8483.803210688488,3.837301314139748,1.137471455329126,0.6093984595457096,184557711.1271135,7563127.937369425,0.6251193452031805,4.987000000000001,0.6963379808840121,21731993.184916098,1631731.1615091648,11.628790108075304,18606441.96332892,31.799,8.02407179034892
2006-9,0.427904503700878,-8564.573776025667,3.830845488644045,1.0587078803302106,0.6087555012956766,184715319.8813756,7568335.959584897,0.6374779078573267,4.987000000000001,0.6964965889604506,21754220.16074953,1631408.230929964,11.632600200522766,18613339.67379519,23.772,8.022025317581033
2006-10,0.4308949403404751,-8753.077264130869,3.820865481468113,1.421378557730808,0.6272259685547825,184872928.63563767,7573543.98180037,0.6494765821002537,4.987000000000001,0.6966551970368892,21776447.136582967,1631085.3003507634,11.636410292970227,18620237.38426146,24.95,8.019978844813146
2006-11,0.4297781875807803,-8585.918047929645,3.797759546537678,1.4120349588618786,0.6138016533493752,185030537.38989973,7578752.004015843,0.6544472076430272,4.987000000000001,0.6968138051133277,21798674.1124164,1630762.3697715623,11.640220385417692,18627135.09472773,31.004,8.017932372045259
2006-12,0.4275878752901689,-8102.613779191029,3.778681269312833,1.1875702591687969,0.5948781830476984,185188146.14416185,7583960.026231317,0.6529124218025248,4.987000000000001,0.6969724131897662,21820901.088249832,1630439.4391923617,11.644030477865154,18634032.805194,26.292,8.015885899277372
2007-1,0.4261722902551189,-8429.349883699913,3.758139256867763,1.0484592446587069,0.5915910920220523,185345754.8984239,7589168.048446789,0.652250285916937,4.987000000000001,0.6971310212662047,21843128.064083267,1630116.5086131608,11.647840570312615,18640930.51566027,23.886,8.013839426509485
2007-2,0.4272545197346237,-8207.504212454718,3.739732339264414,0.8421045009906388,0.5821912594010402,185495361.54458392,7594051.910447072,0.6486758561842155,4.987000000000001,0.6972811262321112,21863240.148307,1630763.851541068,11.651299779797514,18646637.408838693,17.043,8.011010150182036
2007-3,0.421374616153345,-8302.699392306728,3.706955628134506,1.018140906308683,0.5624597981278792,185644968.19074392,7598935.772447355,0.6396733150346336,4.987000000000001,0.6974312311980179,21883352.232530728,1631411.194468975,11.65475898928241,18652344.30201712,26.506,8.008180873854586
2007-4,0.4226987158945232,-8434.701866226666,3.675935689954143,0.9033883329680754,0.5607781390026951,185794574.836904,7603819.634447637,0.6337527638093442,4.987000000000001,0.6975813361639244,21903464.31675446,1632058.5373968822,11.658218198767305,18658051.19519554,24.619,8.005351597527138
2007-5,0.4265292995204747,-8141.051175182823,3.63852003418216,0.9401668232327632,0.5641176200703027,185944181.483064,7608703.49644792,0.653237645563625,4.987000000000001,0.6977314411298309,21923576.400978196,1632705.880324789,11.6616774082522,18663758.088373963,27.225,8.00252232119969
2007-6,0.427912233110958,-8026.170619784551,3.601931188268772,0.8058311751117864,0.557268421320419,186093788.129224,7613587.358448203,0.6449100186574492,4.987000000000001,0.6978815460957375,21943688.48520192,1633353.2232526965,11.665136617737096,18669464.98155239,30.325,7.999693044872241
2007-7,0.4270491588284315,-7955.022260278307,3.560009340555952,1.076324332364028,0.5417029185846474,186243394.77538395,7618471.220448485,0.63275579381832,4.987000000000001,0.698031651061644,21963800.569425654,1634000.5661806036,11.668595827221994,18675171.87473081,31.345,7.996863768544792
2007-8,0.4251241376010696,-7983.790257906689,3.5118118337828608,0.928096428428659,0.5383365294217008,186393001.421544,7623355.082448767,0.6268005040535086,4.987000000000001,0.6981817560275505,21983912.653649382,1634647.9091085107,11.67205503670689,18680878.767909236,41.466,7.9940344922173425
2007-9,0.4202971223147698,-7895.376088335307,3.469607481841116,0.8415331129361044,0.5168062325264737,186542608.067704,7628238.94444905,0.6258989699329778,5.283244897959184,0.6983318609934571,22004024.737873115,1635295.2520364178,11.675514246191788,18686585.66108766,31.547,7.991205215889894
2007-10,0.422186667969427,-7988.122113095049,3.4226070580234054,0.9901874062377624,0.492773472916794,186692214.713864,7633122.806449333,0.617964982686669,5.771453977509372,0.6984819659593636,22024136.822096847,1635942.594964325,11.678973455676685,18692292.55426608,30.362,7.988375939562445
2007-11,0.4244249038787387,-8017.515428278837,3.3732677481944013,0.9668064819595842,0.4788592048124005,186841821.360024,7638006.668449616,0.6145670424343683,6.291197936234053,0.6986320709252701,22044248.90632058,1636589.937892232,11.682432665161578,18697999.447444502,37.141,7.985546663234996
2007-12,0.4244999572063965,-7877.11519891132,3.3132900029546954,0.8691533889591027,0.4548379030142503,186991428.006184,7642890.530449898,0.6103282941034248,6.799589730851074,0.6987821758911767,22064360.990544308,1637237.2808201392,11.685891874646474,18703706.340622928,29.912,7.982717386907548
2008-1,0.4249975168895801,-8333.785630800456,3.2555579562369243,1.1129169419380611,0.4442798633210167,187141034.652344,7647774.392450181,0.6123131329450783,7.243234419235791,0.6989322808570833,22084473.07476804,1637884.6237480463,11.68935108413137,18709413.23380135,25.691,7.979888110580099
2008-2,0.4302154047083354,-7957.479510093275,3.199376609861489,0.9254570735761608,0.4446804445496704,187282618.10601315,7652174.341637064,0.6130114959204532,7.930218795138562,0.6990744003968588,22099494.225422274,1638317.3865374862,11.688958533197669,18711569.49395253,20.925,7.982245452926466
2008-3,0.4313867734467428,-7892.607761543437,3.141468520965748,0.843959701601586,0.4484128206903977,187424201.5596823,7656574.290823947,0.6213585443907181,8.87430489299853,0.6992165199366344,22114515.37607651,1638750.149326926,11.688565982263963,18713725.754103716,26.599,7.984602795272833
2008-4,0.4338669727481246,-8007.976541076512,3.0675634134381013,1.0100789688419711,0.4473258895577853,187565785.01335144,7660974.24001083,0.6263187436812404,9.783004992855645,0.6993586394764099,22129536.526730742,1639182.9121163655,11.68817343133026,18715882.01425489,31.491,7.986960137619201
2008-5,0.4321500462512327,-7622.164669581103,2.983508587016217,0.8788234320750334,0.4544319127338644,187707368.4670206,7665374.189197713,0.646709513314914,10.872025502913925,0.6995007590161854,22144557.677384976,1639615.6749058054,11.68778088039656,18718038.274406075,34.899,7.989317479965568
2008-6,0.416568100772241,-7526.222983080984,2.8968331481222203,0.7991930023670225,0.4203655844188621,187848951.92068976,7669774.1383845955,0.6287480084855108,11.738597451952984,0.699642878555961,22159578.82803921,1640048.4376952453,11.687388329462856,18720194.534557257,36.232,7.991674822311936
2008-7,0.4017041211332135,-7372.476799457021,2.8193033709764,0.902092951723226,0.3823654090466765,187990535.3743589,7674174.087571479,0.599023956748628,12.676732093829571,0.6997849980957365,22174599.978693444,1640481.200484685,11.686995778529152,18722350.79470844,48.534,7.994032164658303
2008-8,0.3911930100262941,-7330.909560613458,2.746140251198851,0.9463193773473402,0.377094781251677,188132118.82802805,7678574.036758362,0.5717904557609863,13.777604177377118,0.699927117635512,22189621.12934768,1640913.9632741243,11.68660322759545,18724507.05485962,33.365,7.99638950700467
2008-9,0.393954511741958,-7785.307445305803,2.665912474404139,1.072336807943622,0.4025579714905743,188273702.2816972,7682973.985945245,0.5509061927111456,14.812636915690936,0.7000692371752876,22204642.280001912,1641346.7260635644,11.686210676661746,18726663.3150108,39.081,7.998746849351037
2008-10,0.4032616547632046,-7703.954458964581,2.598260780235978,1.0137661057737235,0.412023328025164,188415285.7353664,7687373.935132128,0.5338333005653052,16.260160118051974,0.7002113567150631,22219663.430656143,1641779.4888530043,11.685818125728044,18728819.575161982,34.094,8.001104191697404
2008-11,0.4104528122004031,-7476.287871104045,2.5386157863332808,1.0949575949903168,0.4176314374021105,188556869.1890356,7691773.884319011,0.5233099682890817,17.54165318168569,0.7003534762548386,22234684.58131038,1642212.251642444,11.68542557479434,18730975.835313164,30.893,8.003461534043772
2008-12,0.4155686208661097,-7673.72643892393,2.504755709594416,1.1610813401906588,0.4199544942195133,188698452.64270467,7696173.833505894,0.524103085853287,18.938788960903764,0.7004955957946142,22249705.73196461,1642645.0144318836,11.68503302386064,18733132.095464345,28.984,8.005818876390139
2009-1,0.4265478197554145,-8468.75016667358,2.46038988184506,0.7012005668165715,0.4453642148556728,188840036.09637383,7700573.782692777,0.5263722830788128,20.376641796840577,0.7006377153343897,22264726.88261885,1643077.7772213237,11.684640472926937,18735288.355615526,29.45,8.008176218736507
2009-2,0.4330860958676656,-8362.130172448553,2.419211323171128,0.7911392802955751,0.4617677479747263,188999683.0050093,7704524.6839363,0.5227829360821162,21.847430404939363,0.7007723671324352,22314197.679043017,1642864.6819758844,11.687970578558966,18749930.46158677,21.202,8.005098888568321
2009-3,0.4381030668091561,-8556.283355305572,2.384914975903917,0.6947273574987124,0.4744121661088831,189159329.91364485,7708475.585179822,0.5234789989371754,22.958194290754456,0.7009070189304808,22363668.475467183,1642651.5867304455,11.691300684190995,18764572.567558005,23.438,8.002021558400136
2009-4,0.45007711682254,-8805.162211693303,2.3630365952461503,0.6925605788455927,0.4999622144350261,189318976.8222804,7712426.486423344,0.5478423802413089,23.723075806892297,0.7010416707285263,22413139.27189136,1642438.4914850066,11.694630789823028,18779214.673529245,30.851,7.99894422823195
2009-5,0.450431778065969,-8667.302626906909,2.3525692667827225,0.8262641115749951,0.4981088282193594,189478623.73091587,7716377.387666867,0.6069054336378797,25.052220211114587,0.7011763225265719,22462610.06831552,1642225.3962395675,11.69796089545506,18793856.77950048,30.705,7.995866898063764
2009-6,0.4443889715056729,-8866.763268778828,2.338774353162325,0.8459717013893588,0.4904351794060748,189638270.6395514,7720328.288910389,0.5851435517618442,26.742612460321013,0.7013109743246174,22512080.86473969,1642012.3009941285,11.70129100108709,18808498.88547172,33.157,7.992789567895579
2009-7,0.4406435988198508,-9104.309037125651,2.304832376935664,1.0287709072004996,0.4945814397751699,189797917.5481869,7724279.190153912,0.5788217871313215,28.52615557175613,0.7014456261226629,22561551.66116386,1641799.2057486896,11.70462110671912,18823140.99144296,46.931,7.989712237727392
2009-8,0.4435740975951859,-9151.584889714371,2.2790124389025963,0.9676854539357764,0.519129981023956,189957564.45682243,7728230.091397434,0.5750680318928113,30.35707711403687,0.7015802779207085,22611022.45758803,1641586.1105032507,11.707951212351151,18837783.0974142,52.028,7.986634907559207
2009-9,0.4517057294318006,-9303.102943424732,2.248138981864224,0.724499229322103,0.5322073984035939,190117211.36545795,7732180.992640956,0.5778898181752461,32.159711340853946,0.701714929718754,22660493.2540122,1641373.0152578116,11.711281317983184,18852425.20338544,39.746,7.983557577391021
2009-10,0.4562242724341889,-9568.345532304107,2.217904930844287,0.7633071541231229,0.5355829324010861,190276858.27409345,7736131.893884479,0.5785426926291699,33.716700451933434,0.7018495815167997,22709964.050436363,1641159.9200123723,11.714611423615214,18867067.309356675,56.136,7.980480247222836
2009-11,0.4618168766069392,-9497.345398002251,2.177604887432468,0.7775651006383951,0.5460484315742349,190436505.18272892,7740082.795128002,0.5912075438524862,34.84270548202372,0.7019842333148452,22759434.84686053,1640946.8247669337,11.717941529247245,18881709.415327918,43.751,7.97740291705465
2009-12,0.4644167127850657,-9190.300907588446,2.124224012723041,0.6588931475137494,0.5427257627326397,190596152.09136447,7744033.696371524,0.5870573500038764,35.875083187039834,0.7021188851128908,22808905.6432847,1640733.7295214948,11.721271634879276,18896351.521299157,44.93,7.974325586886464
2010-1,0.4691088914703447,-9688.588371030834,2.0799573598611705,0.8031841697782718,0.5528867394615864,190755799.0,7747984.597615046,0.6027048817569469,36.95388917594165,0.7022535369109363,22858376.43970887,1640520.6342760555,11.724601740511307,18910993.627270397,41.841,7.971248256718279
2010-2,0.4638866746250542,-9576.958631035535,2.030863470139216,0.5926900446632651,0.5359195328522104,190858600.18802968,7751204.361214897,0.5955700194878013,38.08980049750708,0.7023812386516528,22901951.72282414,1638681.742145072,11.727899861325486,18920924.672946837,51.53,7.9700287757240895
2010-3,0.4529411903376403,-9737.230041667011,1.9872203448387613,0.7585008947055016,0.5269652285318539,190961401.3760593,7754424.124814747,0.5982752954789717,38.77979196082071,0.7025089403923694,22945527.00593941,1636842.8500140882,11.731197982139664,18930855.71862327,66.877,7.9688092947299
2010-4,0.455830055988475,-10059.393149424635,1.938766300428007,0.6804934266711138,0.5365275225694347,191064202.56408903,7757643.888414597,0.5978042087664871,39.34418965608239,0.702636642133086,22989102.28905468,1635003.9578831042,11.734496102953845,18940786.76429971,68.114,7.967589813735712
2010-5,0.4519925678913392,-9786.943488370514,1.900423502203311,0.8415792375791469,0.5422255150798765,191167003.7521188,7760863.652014448,0.6184467692784309,40.26933628186253,0.7027643438738025,23032677.57216995,1633165.0657521205,11.737794223768022,18950717.80997615,74.693,7.966370332741523
2010-6,0.4452546601697086,-9905.786117325402,1.8856666637377413,0.7475516797723416,0.526058037576734,191269804.9401484,7764083.415614299,0.5958291622572781,41.09846507326965,0.702892045614519,23076252.85528522,1631326.1736211367,11.7410923445822,18960648.855652586,69.723,7.965150851747333
2010-7,0.4546156103614938,-10012.607609861,1.8938061232400991,0.6585535280859806,0.5522966590697518,191372606.1281781,7767303.179214149,0.5865859204975183,42.21756441248019,0.7030197473552355,23119828.138400488,1629487.2814901527,11.74439046539638,18970579.901329026,88.606,7.963931370753144
2010-8,0.4638587019783974,-10127.16701415496,1.9055306692046643,0.8571799086828237,0.5776013784579778,191475407.31620777,7770522.942813999,0.5826586136352507,43.45974466388122,0.7031474490959522,23163403.42151576,1627648.389359169,11.74768858621056,18980510.947005466,91.828,7.962711889758955
2010-9,0.4761580018141546,-10250.239819329276,1.9300080246741709,0.9272688877681192,0.5772035539111675,191578208.50423744,7773742.706413849,0.5845130658367664,44.32993120442213,0.7032751508366687,23206978.70463103,1625809.4972281852,11.750986707024738,18990441.992681906,79.6,7.961492408764766
2010-10,0.4806927669176689,-9855.109255533838,1.9496834440674369,0.8758085186592697,0.5519922392666898,191681009.69226712,7776962.4700137,0.5851989203903505,45.25363108786562,0.7034028525773852,23250553.9877463,1623970.6050972014,11.754284827838916,19000373.038358346,98.639,7.960272927770577
2010-11,0.4792117692065355,-9697.432210565865,1.9809369678190991,0.8037657062983529,0.5389303803124353,191783810.88029683,7780182.233613551,0.5889002595704534,45.87319171990263,0.7035305543181019,23294129.27086157,1622131.7129662177,11.757582948653097,19010304.084034786,103.767,7.959053446776388
2010-12,0.4797986866964565,-10050.732911371206,2.016086379686157,0.7859094411250622,0.5226303587391766,191886612.0683265,7783401.997213401,0.5859531226578283,46.53197822068257,0.7036582560588184,23337704.55397684,1620292.8208352337,11.760881069467274,19020235.12971122,86.207,7.957833965782199
2011-1,0.485803381917484,-10517.124472033394,2.035093128055376,0.9418321282514702,0.5232972131171288,191989413.25635612,7786621.760813251,0.5868072050415946,46.869594328025,0.7037859577995349,23381279.83709211,1618453.92870425,11.764179190281451,19030166.17538766,86.627,7.95661448478801
2011-2,0.4823188015534446,-10136.637212959104,2.0617197249168107,0.9643537751632691,0.5089693151224648,192095145.77648595,7788997.896079644,0.5919181218163453,47.18387907355937,0.7039205488583279,23418754.995226186,1613613.788668718,11.763637745440295,19036427.11715371,89.239,7.839104011679743
2011-3,0.4765888567715217,-10178.562458683811,2.079526018829988,0.8509315411312844,0.4966673062887451,192200878.2966157,7791374.031346036,0.5978188398925539,47.5990719035312,0.7040551399171209,23456230.15336025,1608773.648633186,11.763096300599138,19042688.058919765,70.964,7.721593538571476
2011-4,0.4724763218727945,-10225.7655016099,2.095742570726438,0.9119394548460248,0.483448023435273,192306610.81674543,7793750.166612428,0.6056625101161331,47.94390614052664,0.7041897309759138,23493705.311494324,1603933.508597654,11.76255485575798,19048949.00068581,51.254,7.604083065463209
