,Sergipe - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Sergipe - value,Sergipe - Produção de Cimento (t),Sergipe - Consumo de Cimento (t),Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado,Sergipe - Desemprego
2005-4,0.6774065399293429,0.4550001182228941,-7427.695727374902,4.479302822781261,1.513866283918324,0.4371435666899209,181964141.8455004,7478854.698081687,0.6089935578495764,0.3563866510320373,169.15825686723,19.137,22206563.57498452,1282423.64686788,9.988121848435632,20424592.287806448,8.271693750434588
2005-5,0.6776657957863459,0.4387655535867955,-7307.848389698152,4.361373483938184,1.5686237807140602,0.4197283588146051,182129731.6234758,7484167.707390512,0.6112913639662371,0.3558083736593032,170.91011108070407,15.066,22226752.26701386,1283445.3916318547,9.989274788056193,20428538.71394888,8.264218312783521
2005-6,0.6779250516433489,0.4302028729547594,-7431.800235590503,4.256101726196984,1.400078135123935,0.4199780553732319,182295321.4014512,7489480.716699338,0.5804670357747842,0.3553927385687889,171.83494683688804,17.048,22246940.959043205,1284467.1363958295,9.990427727676748,20432485.140091304,8.256742875132456
2005-7,0.678184307500352,0.4313751989691616,-7447.830376487559,4.16168717243741,1.5002475733361442,0.426655987569031,182460911.1794265,7494793.726008162,0.5645649922940777,0.3549401252225032,173.66134862891246,17.748,22267129.651072547,1285488.8811598043,9.991580667297304,20436431.56623373,8.24926743748139
2005-8,0.6784435633573551,0.4316478866297594,-7426.454566904413,4.079825078928361,1.366263537502306,0.4533210772878235,182626500.957402,7500106.735316987,0.5609756759595197,0.3542467891060996,176.22976191241338,20.65,22287318.34310189,1286510.6259237789,9.99273360691786,20440377.99237616,8.241791999830324
2005-9,0.6787028192143582,0.4277093852365702,-7512.020875107958,4.012628248908924,1.489061200727286,0.4844114534007803,182792090.7353773,7505419.744625812,0.5646643450021134,0.3537171046604103,178.73620722721026,17.941,22307507.035131235,1287532.3706877537,9.993886546538418,20444324.418518584,8.23431656217926
2005-10,0.6789620750713612,0.4225131084131527,-7687.979669089395,3.9602332396446167,1.2109586000669308,0.4945726100320757,182957680.51335275,7510732.753934638,0.5644640550493971,0.3531514866106713,180.82616008399123,16.431,22327695.727160577,1288554.1154517285,9.995039486158976,20448270.84466101,8.226841124528192
2005-11,0.6792213309283643,0.410747290823505,-7676.736667287167,3.9221772649399615,1.6422607052183609,0.4959029929217597,183123270.29132813,7516045.763243463,0.5622657106505984,0.3525503045926877,182.4722944516548,17.995,22347884.41918992,1289575.8602157033,9.996192425779531,20452217.27080344,8.219365686877127
2005-12,0.6794805867853674,0.4101195327303973,-7542.184036343686,3.892160292125506,1.377980104178371,0.5121818479826961,183288860.0693036,7521358.772552288,0.5630711908624105,0.3519139677361034,184.873625730612,20.117,22368073.111219265,1290597.604979678,9.99734536540009,20456163.696945865,8.21189024922606
2006-1,0.6797398426423704,0.4093210137705744,-7965.495545452277,3.8684439286332686,1.0704709367180183,0.5246513831169914,183454449.8472789,7526671.781861113,0.5580933471517024,0.3512428393525048,186.3864393939468,18.774,22388261.803248607,1291619.3497436529,9.998498305020648,20460110.123088293,8.204414811574996
2006-2,0.6799670130775721,0.4028183365263698,-7956.205189035386,3.846872965752776,1.272740378704435,0.5117940136540285,183612058.601541,7531879.804076586,0.5540061208774786,0.3505373198189614,187.72284826166307,19.74,22405071.81886554,1292473.1139759957,9.998684842181657,20461482.75310396,8.202372718547565
2006-3,0.6801941835127738,0.3998570076790366,-8153.367564422752,3.842818789820434,1.087038179944784,0.5216724461884032,183769667.35580307,7537087.826292059,0.558308779155122,0.3500060077287107,190.03311509767852,24.599,22421881.83448248,1293326.8782083385,9.998871379342669,20462855.38311962,8.200330625520133
2006-4,0.6804213539479755,0.3979963710958243,-8423.448244351577,3.836249908110392,1.2439483036977474,0.5491307539299164,183927276.1100652,7542295.848507533,0.5671710316312383,0.3494495428397339,192.03048837357088,20.716,22438691.850099407,1294180.642440681,9.999057916503675,20464228.013135288,8.198288532492702
2006-5,0.6806485243831772,0.4056653747218318,-8229.867308086905,3.840605092822108,0.9925459420462728,0.5836820001689738,184084884.86432725,7547503.870723005,0.5968232499556683,0.3488686091960946,194.0500167163181,22.626,22455501.865716346,1295034.4066730237,9.999244453664687,20465600.64315095,8.19624643946527
2006-6,0.680875694818379,0.4149031030845876,-8333.395980655183,3.8357922282673904,1.1619063477174951,0.6123741776559579,184242493.6185893,7552711.892938478,0.6052265435927703,0.3482639366954702,195.17067679726975,18.272,22472311.88133328,1295888.1709053663,9.999430990825696,20466973.273166616,8.19420434643784
2006-7,0.6811028652535807,0.4267485653722618,-8363.641502791654,3.834296240076312,1.0107148892098956,0.6206261710016543,184400102.37285143,7557919.915153951,0.6134655051430675,0.3476363027043502,197.1823688137899,17.882,22489121.89695021,1296741.9351377091,9.999617527986707,20468345.903182283,8.192162253410409
2006-8,0.6813300356887825,0.4258794259587617,-8483.803210688488,3.837301314139748,1.137471455329126,0.6093984595457096,184557711.1271135,7563127.937369425,0.6251193452031805,0.3469865337224298,200.42014472053805,24.696,22505931.912567142,1297595.699370052,9.999804065147718,20469718.533197947,8.190120160382977
2006-9,0.6815572061239842,0.427904503700878,-8564.573776025667,3.830845488644045,1.0587078803302106,0.6087555012956766,184715319.8813756,7568335.959584897,0.6374779078573267,0.3467278370635377,202.8481730112829,24.177,22522741.92818408,1298449.4636023948,9.999990602308728,20471091.16321361,8.188078067355546
2006-10,0.6817843765591859,0.4308949403404751,-8753.077264130869,3.820865481468113,1.421378557730808,0.6272259685547825,184872928.63563767,7573543.98180037,0.6494765821002537,0.3472819744651441,205.09045584764388,25.541,22539551.943801016,1299303.2278347374,10.000177139469738,20472463.793229274,8.186035974328114
2006-11,0.6820115469943876,0.4297781875807803,-8585.918047929645,3.797759546537678,1.4120349588618786,0.6138016533493752,185030537.38989973,7578752.004015843,0.6544472076430272,0.3478507845736501,206.7793469406475,26.724,22556361.959417947,1300156.9920670802,10.000363676630748,20473836.42324494,8.183993881300683
2006-12,0.6822387174295893,0.4275878752901689,-8102.613779191029,3.778681269312833,1.1875702591687969,0.5948781830476984,185188146.14416185,7583960.026231317,0.6529124218025248,0.3484402619713116,208.734294864468,26.478,22573171.97503488,1301010.7562994228,10.000550213791758,20475209.05326061,8.18195178827325
2007-1,0.682465887864791,0.4261722902551189,-8429.349883699913,3.758139256867763,1.0484592446587069,0.5915910920220523,185345754.8984239,7589168.048446789,0.652250285916937,0.3490524794667159,209.8855278649651,29.457,22589981.990651816,1301864.5205317657,10.000736750952768,20476581.68327627,8.17990969524582
2007-2,0.6826616995661144,0.4272545197346237,-8207.504212454718,3.739732339264414,0.8421045009906388,0.5821912594010402,185495361.54458392,7594051.910447072,0.6486758561842155,0.3496893302510046,210.1727052290708,22.985,22603518.961476777,1302083.185267125,10.000315550009244,20475919.24509892,8.177519671910517
2007-3,0.682857511267438,0.421374616153345,-8302.699392306728,3.706955628134506,1.018140906308683,0.5624597981278792,185644968.19074392,7598935.772447355,0.6396733150346336,0.3503481741514225,212.0562188088439,26.894,22617055.932301737,1302301.8500024844,9.99989434906572,20475256.806921568,8.175129648575215
