, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),São Paulo - Consumo de Cimento (t),São Paulo - Produção de Cimento (t),São Paulo - value,São Paulo - PIB - Estadual,São Paulo - PIB - Construção Civil,São Paulo - PIB - Per Capita,São Paulo - PIB - Preços de Mercado,São Paulo - Desemprego,São Paulo - IDH
2007-7,0.4270491588284315,-7955.022260278307,3.560009340555952,1.076324332364028,0.5417029185846474,186243394.77538395,7618471.220448485,0.63275579381832,976.498,613.0430818016331,0.3193468644129557,1088419458.8559542,48432886.79478476,24.142229440745755,994623545.7105289,8.086261256108997,0.8179379563402709
2007-8,0.4251241376010696,-7983.790257906689,3.5118118337828608,0.928096428428659,0.5383365294217008,186393001.421544,7623355.082448767,0.6268005040535086,1166.121,616.8905945421646,0.3196659879329559,1089082172.5900366,48449209.2970609,24.14248899209456,994633413.5553277,8.083761555205767,0.818011833990304
2007-9,0.4202971223147698,-7895.376088335307,3.469607481841116,0.8415331129361044,0.5168062325264737,186542608.067704,7628238.94444905,0.6258989699329778,1017.982,618.8269902746355,0.3187816703401204,1089744886.324119,48465531.79933705,24.14274854344336,994643281.4001265,8.081261854302536,0.818085711640337
2007-10,0.422186667969427,-7988.122113095049,3.4226070580234054,0.9901874062377624,0.492773472916794,186692214.713864,7633122.806449333,0.617964982686669,1114.037,622.6705986488663,0.3180948348196497,1090407600.0582016,48481854.3016132,24.14300809479216,994653149.244925,8.078762153399307,0.8181595892903701
2007-11,0.4244249038787387,-8017.515428278837,3.3732677481944013,0.9668064819595842,0.4788592048124005,186841821.360024,7638006.668449616,0.6145670424343683,1029.932,625.0974291889733,0.3175860129434449,1091070313.792284,48498176.80388935,24.14326764614096,994663017.0897238,8.076262452496076,0.8182334669404032
2007-12,0.4244999572063965,-7877.11519891132,3.3132900029546954,0.8691533889591027,0.4548379030142503,186991428.006184,7642890.530449898,0.6103282941034248,851.789,627.1264517429602,0.3170967324123362,1091733027.5263667,48514499.3061655,24.14352719748976,994672884.9345224,8.073762751592847,0.8183073445904363
2008-1,0.4249975168895801,-8333.785630800456,3.2555579562369243,1.1129169419380611,0.4442798633210167,187141034.652344,7647774.392450181,0.6123131329450783,1028.204,629.0431042181126,0.3166408042115136,1092395741.2604492,48530821.80844165,24.14378674883856,994682752.7793212,8.071263050689616,0.8183812222404694
2008-2,0.4302154047083354,-7957.479510093275,3.199376609861489,0.9254570735761608,0.4446804445496704,187282618.10601315,7652174.341637064,0.6130114959204532,1021.902,630.0872213655749,0.3161791802949356,1092918525.1655178,48547746.75676971,24.143600425283815,994684994.0440158,8.073685046201604,0.8184452835387133
2008-3,0.4313867734467428,-7892.607761543437,3.141468520965748,0.843959701601586,0.4484128206903977,187424201.5596823,7656574.290823947,0.6213585443907181,1028.175,634.7561833057946,0.3157536517016685,1093441309.0705867,48564671.70509777,24.14341410172908,994687235.3087102,8.076107041713593,0.8185093448369571
2008-4,0.4338669727481246,-8007.976541076512,3.0675634134381013,1.0100789688419711,0.4473258895577853,187565785.01335144,7660974.24001083,0.6263187436812404,1085.962,637.0741470189406,0.3153370542963066,1093964092.9756553,48581596.65342583,24.14322777817433,994689476.5734048,8.078529037225582,0.818573406135201
2008-5,0.4321500462512327,-7622.164669581103,2.983508587016217,0.8788234320750334,0.4544319127338644,187707368.4670206,7665374.189197713,0.646709513314914,1097.846,642.4378084464523,0.3148112809200368,1094486876.880724,48598521.60175389,24.143041454619595,994691717.8380992,8.08095103273757,0.818637467433445
2008-6,0.416568100772241,-7526.222983080984,2.8968331481222203,0.7991930023670225,0.4203655844188621,187848951.92068976,7669774.1383845955,0.6287480084855108,1170.535,647.3937700091105,0.3144779508240349,1095009660.7857926,48615446.550081946,24.142855131064856,994693959.1027936,8.083373028249557,0.8187015287316889
2008-7,0.4017041211332135,-7372.476799457021,2.8193033709764,0.902092951723226,0.3823654090466765,187990535.3743589,7674174.087571479,0.599023956748628,1270.803,650.2091875345124,0.3142889176605314,1095532444.6908612,48632371.49841,24.14266880751012,994696200.367488,8.085795023761547,0.8187655900299328
2008-8,0.3911930100262941,-7330.909560613458,2.746140251198851,0.9463193773473402,0.377094781251677,188132118.82802805,7678574.036758362,0.5717904557609863,1194.518,654.4064221356565,0.3136671856321116,1096055228.59593,48649296.446738064,24.142482483955376,994698441.6321826,8.088217019273536,0.8188296513281766
2008-9,0.393954511741958,-7785.307445305803,2.665912474404139,1.072336807943622,0.4025579714905743,188273702.2816972,7682973.985945245,0.5509061927111456,1175.49,657.0793549493136,0.313680304407912,1096578012.5009987,48666221.39506612,24.14229616040064,994700682.896877,8.090639014785523,0.8188937126264205
2008-10,0.4032616547632046,-7703.954458964581,2.598260780235978,1.0137661057737235,0.412023328025164,188415285.7353664,7687373.935132128,0.5338333005653052,1272.776,660.8158707713064,0.3129598362935975,1097100796.4060674,48683146.34339418,24.142109836845897,994702924.1615716,8.093061010297511,0.8189577739246645
2008-11,0.4104528122004031,-7476.287871104045,2.5386157863332808,1.0949575949903168,0.4176314374021105,188556869.1890356,7691773.884319011,0.5233099682890817,1140.539,662.6132669507961,0.3128960658185514,1097623580.3111362,48700071.29172224,24.141923513291157,994705165.426266,8.0954830058095,0.8190218352229084
2008-12,0.4155686208661097,-7673.72643892393,2.504755709594416,1.1610813401906588,0.4199544942195133,188698452.64270467,7696173.833505894,0.524103085853287,989.518,665.0129931638579,0.3129226365571177,1098146364.216205,48716996.2400503,24.14173718973641,994707406.6909604,8.09790500132149,0.8190858965211523
2009-1,0.4265478197554145,-8468.75016667358,2.46038988184506,0.7012005668165715,0.4453642148556728,188840036.09637383,7700573.782692777,0.5263722830788128,990.422,666.3455598318075,0.3130266139650016,1098669148.1212735,48733921.18837836,24.141550866181674,994709647.955655,8.100326996833477,0.8191499578193961
2009-2,0.4330860958676656,-8362.130172448553,2.419211323171128,0.7911392802955751,0.4617677479747263,188999683.0050093,7704524.6839363,0.5227829360821162,942.513,670.4422659415387,0.3129126667647528,1100780848.870156,48743351.402056776,24.14197164845223,995027320.1616732,8.097372024979004,0.8192044013746826
2009-3,0.4381030668091561,-8556.283355305572,2.384914975903917,0.6947273574987124,0.4744121661088831,189159329.91364485,7708475.585179822,0.5234789989371754,1142.459,675.959928311152,0.3128870122269623,1102892549.6190386,48752781.6157352,24.14239243072279,995344992.3676916,8.094417053124529,0.8192588449299693
2009-4,0.45007711682254,-8805.162211693303,2.3630365952461503,0.6925605788455927,0.4999622144350261,189318976.8222804,7712426.486423344,0.5478423802413089,1091.735,679.4825472889858,0.3128089553614847,1105004250.367921,48762211.829413615,24.142813212993342,995662664.5737098,8.091462081270056,0.8193132884852559
2009-5,0.450431778065969,-8667.302626906909,2.3525692667827225,0.8262641115749951,0.4981088282193594,189478623.73091587,7716377.387666867,0.6069054336378797,1124.855,685.9822803232682,0.3132288782565733,1107115951.1168036,48771642.04309204,24.143233995263905,995980336.7797282,8.088507109415582,0.8193677320405424
2009-6,0.4443889715056729,-8866.763268778828,2.338774353162325,0.8459717013893588,0.4904351794060748,189638270.6395514,7720328.288910389,0.5851435517618442,1129.992,690.1525592376362,0.3136754761844727,1109227651.8656862,48781072.25677045,24.14365477753446,996298008.9857464,8.085552137561107,0.8194221755958289
2009-7,0.4406435988198508,-9104.309037125651,2.304832376935664,1.0287709072004996,0.4945814397751699,189797917.5481869,7724279.190153912,0.5788217871313215,1157.173,695.8631146327152,0.3143576851885516,1111339352.6145687,48790502.47044888,24.144075559805017,996615681.1917648,8.082597165706634,0.8194766191511155
